_step,ep_info/Objective,seed,method
1,100,1764530185,Base SO RL
2,0,1764530185,Base SO RL
3,0,1764530185,Base SO RL
4,0,1764530185,Base SO RL
5,0,1764530185,Base SO RL
6,0,1764530185,Base SO RL
7,0,1764530185,Base SO RL
8,0,1764530185,Base SO RL
9,0,1764530185,Base SO RL
10,0,1764530185,Base SO RL
11,0,1764530185,Base SO RL
12,0,1764530185,Base SO RL
13,100,1764530185,Base SO RL
14,0,1764530185,Base SO RL
15,0,1764530185,Base SO RL
16,0,1764530185,Base SO RL
17,100,1764530185,Base SO RL
18,0,1764530185,Base SO RL
19,100,1764530185,Base SO RL
20,0,1764530185,Base SO RL
21,100,1764530185,Base SO RL
22,0,1764530185,Base SO RL
23,100,1764530185,Base SO RL
24,0,1764530185,Base SO RL
25,100,1764530185,Base SO RL
26,100,1764530185,Base SO RL
27,0,1764530185,Base SO RL
28,100,1764530185,Base SO RL
29,0,1764530185,Base SO RL
30,100,1764530185,Base SO RL
31,100,1764530185,Base SO RL
32,100,1764530185,Base SO RL
33,100,1764530185,Base SO RL
34,0,1764530185,Base SO RL
35,100,1764530185,Base SO RL
36,100,1764530185,Base SO RL
37,100,1764530185,Base SO RL
38,0,1764530185,Base SO RL
39,100,1764530185,Base SO RL
40,100,1764530185,Base SO RL
41,100,1764530185,Base SO RL
42,100,1764530185,Base SO RL
43,100,1764530185,Base SO RL
44,100,1764530185,Base SO RL
45,100,1764530185,Base SO RL
46,100,1764530185,Base SO RL
47,100,1764530185,Base SO RL
48,100,1764530185,Base SO RL
49,100,1764530185,Base SO RL
50,100,1764530185,Base SO RL
51,100,1764530185,Base SO RL
52,100,1764530185,Base SO RL
53,100,1764530185,Base SO RL
54,100,1764530185,Base SO RL
55,100,1764530185,Base SO RL
56,100,1764530185,Base SO RL
57,100,1764530185,Base SO RL
58,100,1764530185,Base SO RL
59,100,1764530185,Base SO RL
60,100,1764530185,Base SO RL
61,100,1764530185,Base SO RL
62,100,1764530185,Base SO RL
63,100,1764530185,Base SO RL
64,100,1764530185,Base SO RL
65,100,1764530185,Base SO RL
66,100,1764530185,Base SO RL
67,100,1764530185,Base SO RL
68,100,1764530185,Base SO RL
69,100,1764530185,Base SO RL
70,0,1764530185,Base SO RL
71,0,1764530185,Base SO RL
72,100,1764530185,Base SO RL
73,100,1764530185,Base SO RL
