_step,ep_info/Goal,seed,method
399,0,1787866265,Base SO RL
1338,-1,1787866265,Base SO RL
1726,0,1787866265,Base SO RL
1751,0,1787866265,Base SO RL
2126,0,1787866265,Base SO RL
2151,0,1787866265,Base SO RL
2237,0,1787866265,Base SO RL
2481,0,1787866265,Base SO RL
3176,-1,1787866265,Base SO RL
3199,0,1787866265,Base SO RL
3599,0,1787866265,Base SO RL
3703,0,1787866265,Base SO RL
3738,0,1787866265,Base SO RL
3803,-1,1787866265,Base SO RL
3816,0,1787866265,Base SO RL
4103,0,1787866265,Base SO RL
4134,-1,1787866265,Base SO RL
4216,0,1787866265,Base SO RL
4481,0,1787866265,Base SO RL
4551,0,1787866265,Base SO RL
4637,0,1787866265,Base SO RL
4776,0,1787866265,Base SO RL
5303,0,1787866265,Base SO RL
5334,0,1787866265,Base SO RL
5560,0,1787866265,Base SO RL
5703,0,1787866265,Base SO RL
5738,0,1787866265,Base SO RL
5999,0,1787866265,Base SO RL
6138,0,1787866265,Base SO RL
6158,0,1787866265,Base SO RL
6503,0,1787866265,Base SO RL
6603,0,1787866265,Base SO RL
6617,0,1787866265,Base SO RL
6681,0,1787866265,Base SO RL
6799,0,1787866265,Base SO RL
6878,0,1787866265,Base SO RL
6969,0,1787866265,Base SO RL
7077,0,1787866265,Base SO RL
7303,0,1787866265,Base SO RL
7351,0,1787866265,Base SO RL
7369,0,1787866265,Base SO RL
7403,0,1787866265,Base SO RL
7555,0,1787866265,Base SO RL
7960,0,1787866265,Base SO RL
8376,0,1787866265,Base SO RL
8677,0,1787866265,Base SO RL
8755,0,1787866265,Base SO RL
8776,0,1787866265,Base SO RL
8799,0,1787866265,Base SO RL
8878,0,1787866265,Base SO RL
8951,0,1787866265,Base SO RL
8969,0,1787866265,Base SO RL
9155,0,1787866265,Base SO RL
9369,0,1787866265,Base SO RL
9599,0,1787866265,Base SO RL
9803,0,1787866265,Base SO RL
9855,0,1787866265,Base SO RL
9976,0,1787866265,Base SO RL
9999,0,1787866265,Base SO RL
10150,0,1787866265,Base SO RL
10360,0,1787866265,Base SO RL
10569,0,1787866265,Base SO RL
10776,0,1787866265,Base SO RL
10826,0,1787866265,Base SO RL
10903,0,1787866265,Base SO RL
11077,0,1787866265,Base SO RL
11226,0,1787866265,Base SO RL
11555,0,1787866265,Base SO RL
11626,0,1787866265,Base SO RL
11703,0,1787866265,Base SO RL
11706,0,1787866265,Base SO RL
11877,0,1787866265,Base SO RL
11955,0,1787866265,Base SO RL
11976,0,1787866265,Base SO RL
11999,0,1787866265,Base SO RL
12097,-1,1787866265,Base SO RL
12150,0,1787866265,Base SO RL
12255,0,1787866265,Base SO RL
12277,0,1787866265,Base SO RL
12503,0,1787866265,Base SO RL
12655,0,1787866265,Base SO RL
12951,0,1787866265,Base SO RL
13003,0,1787866265,Base SO RL
13055,0,1787866265,Base SO RL
13149,0,1787866265,Base SO RL
13160,0,1787866265,Base SO RL
13403,0,1787866265,Base SO RL
13427,0,1787866265,Base SO RL
13877,0,1787866265,Base SO RL
13949,0,1787866265,Base SO RL
14103,0,1787866265,Base SO RL
14227,0,1787866265,Base SO RL
14355,0,1787866265,Base SO RL
14551,0,1787866265,Base SO RL
14603,0,1787866265,Base SO RL
14650,0,1787866265,Base SO RL
14677,0,1787866265,Base SO RL
14799,0,1787866265,Base SO RL
14897,0,1787866265,Base SO RL
15149,0,1787866265,Base SO RL
15427,0,1787866265,Base SO RL
15428,-1,1787866265,Base SO RL
15459,0,1787866265,Base SO RL
15477,0,1787866265,Base SO RL
15555,0,1787866265,Base SO RL
15810,0,1787866265,Base SO RL
15855,0,1787866265,Base SO RL
15877,0,1787866265,Base SO RL
16097,0,1787866265,Base SO RL
16259,0,1787866265,Base SO RL
16608,0,1787866265,Base SO RL
16650,0,1787866265,Base SO RL
16677,0,1787866265,Base SO RL
16897,0,1787866265,Base SO RL
